name,phone,address,website,rating,reviews,place_id,source
Klenk Law,(215) 790-1095,"2202 Delancey Pl, Philadelphia, PA 19103, USA",http://klenklaw.com/,4.9,317,ChIJmSGugDDGxokRnG9qqUetbRg,TextSearch(New)+Details(New)
"Steven J. Fromm & Associates, P.C.",(215) 735-2336,"1420 Walnut St # 300, Philadelphia, PA 19102, USA",http://www.sjfpc.com/,5,80,ChIJ2eRWVyXGxokRQAxp1NUZ8WA,TextSearch(New)+Details(New)
"The Law Office of Steven M. Zelinger, LLC",(267) 209-6103,"1650 Market St Ste 3623, Philadelphia, PA 19103, USA",https://www.stevenzelinger.com/?utm_source=google-local&utm_medium=organic&utm_campaign=1927,4.8,43,ChIJnSriDNTHxokRLhp3oEaKdww,TextSearch(New)+Details(New)
Giampolo Law Group,(215) 645-2415,"507 S 2nd St, Philadelphia, PA 19147, USA",https://giampololaw.com/?utm_source=google&utm_medium=organic&utm_campaign=Google%20My%20Business,4.9,69,ChIJh0fICzDGxokReKGr03b923I,TextSearch(New)+Details(New)
Badet Law PLLC,(267) 277-2641,"1515 Market St #1200, Philadelphia, PA 19102, USA",https://divorcelawyerbadet.com/,4.9,253,ChIJ3braR5zHxokRxdRtbSwEBaQ,TextSearch(New)+Details(New)
Daiello Law,(215) 918-4242,"230 S Broad St 17th floor, Philadelphia, PA 19102, USA",https://pennsylvaniaprobatelawfirm.com/,4.9,61,ChIJk42euhDGxokRcoyrX0c0T_M,TextSearch(New)+Details(New)
Heiligman & Mogul,(215) 561-0111,"135 S 19th St #200, Philadelphia, PA 19103, USA",https://heiligmanandmogul.com/,4.9,37,ChIJeQAAADfGxokRN4jI5FIZg1E,TextSearch(New)+Details(New)
Gail Marcus Law,(215) 751-0505,"1500 John F Kennedy Blvd Suite 910 B, Philadelphia, PA 19102, USA",https://www.gmarcuslaw.com/,4.9,47,ChIJATCdEC7GxokRxEriT_cxMMA,TextSearch(New)+Details(New)
"Joseph P. Capone, Attorney at Law",(215) 557-0070,"2332 S Broad St, Philadelphia, PA 19145, USA",https://www.caponelawyers.com/,5,108,ChIJ82UXcZ7HxokRQkDadvgI15Y,TextSearch(New)+Details(New)
"JM LAW GROUP, LLC",(215) 832-3600,"1515 Market St #1200, Philadelphia, PA 19102, USA",http://www.lawmr.com/,4.9,30,ChIJY6_tJDHGxokRlcV03VIjFqY,TextSearch(New)+Details(New)
The Town Law LLC,(215) 307-5504,"1650 Market St Ste 3669, Philadelphia, PA 19103, USA",https://www.thetownlaw.com/?utm_source=google-local&utm_medium=organic&utm_campaign=2953,5,396,ChIJ1SW9TaDHxokRmvADMaJ5OSo,TextSearch(New)+Details(New)
LEGAL REAL ESTATE,(215) 965-9700,"9200 Academy Rd, Philadelphia, PA 19114, USA",http://legalrealestate.us/,4.9,121,ChIJ77QY8IG0xokRNe6sZh2OP34,TextSearch(New)+Details(New)
"The Loza Law Firm, LLC",(215) 965-9700,"9200 Academy Rd, Philadelphia, PA 19114, USA",http://www.lozalawfirm.com/,4.9,96,ChIJB0HNMYO0xokRJice5tUskO0,TextSearch(New)+Details(New)
"Anthony J. Caiazzo, Jr., Esquire",(215) 465-5575,"1445 Snyder Ave, Philadelphia, PA 19145, USA",https://www.philapalaw.com/?utm_source=google-local&utm_medium=organic&utm_campaign=3291,4.8,32,ChIJrSIQTgnGxokRb1MQQFoyVSs,TextSearch(New)+Details(New)
Law Office of Adam S Bernick,(215) 563-8783,"123 S Broad St Ste. 1507, Philadelphia, PA 19109, USA",http://www.bernicklaw.com/,4.8,16,ChIJJX1PNzjGxokRDpMx9fKIRAs,TextSearch(New)+Details(New)
RS Law Group,(215) 717-2200,"226 Walnut St, Philadelphia, PA 19106, USA",https://rslawgroup.com/,4.8,81,ChIJA-RVtsiyxokRKqlV4NTc4N0,TextSearch(New)+Details(New)
"Freundlich & Littman, LLC",(215) 201-4099,"1425 Walnut St #200, Philadelphia, PA 19102, USA",http://www.philadelphiaattorneylawyer.com/,4.9,122,ChIJOxKK_y_GxokRvhZBc_n2sAo,TextSearch(New)+Details(New)
Law Offices of Sheikh Irfan Afzal,(484) 273-0699,"319 S 69th St 2nd floor, Suite 4, Upper Darby Township, PA 19082, USA",http://www.sirfanlawoffice.com/,4.9,198,ChIJD9gYKmDBxokR-9EYIf4YVeA,TextSearch(New)+Details(New)
Sean Andrew Murphy Attorney At Law,(610) 394-3000,"340 N Lansdowne Ave, Lansdowne, PA 19050, USA",https://www.sean-murphy.com/,5,8,ChIJe_Oaw23BxokRuvhheiX0mxA,TextSearch(New)+Details(New)
D'Intino Law Firm LLC,(267) 491-9111,"200 S Broad St Suite 610, Philadelphia, PA 19102, USA",https://dintinolaw.com/,4.9,91,ChIJQ2NsjkPHxokRKL79ObmIb0s,TextSearch(New)+Details(New)
Bratton Law Group,(267) 323-4038,"1650 Market St #3600, Philadelphia, PA 19103, USA",https://www.brattonlawgroup.com/areas-we-serve/philadelphia-pa/,5,1,ChIJTzZ9sTHGxokROgAyOlcqFmc,TextSearch(New)+Details(New)
"Nesevich Law, LLC",(856) 733-5497,"400 N Church St #250, Moorestown, NJ 08057, USA",https://nesevichlaw.com/?utm_source=GMBlisting&utm_medium=organic,5,539,ChIJDV2T_UA1wYkRpJFAojNIk-k,TextSearch(New)+Details(New)
"Maniaci, Ciccotta and Schweizer",(215) 332-2626,"6720 Frankford Ave, Philadelphia, PA 19135, USA",http://www.ciccotta.com/,5,53,ChIJlcyJiCq1xokRENDBf6anuKI,TextSearch(New)+Details(New)
Nochumson P.C.,(215) 399-1346,"1 S Broad St Suite 1000, Philadelphia, PA 19107, USA",http://www.nochumson.com/,4.7,74,ChIJy4ewgjrGxokReW9r7JmE6-k,TextSearch(New)+Details(New)
"Petrelli Previtera, LLC",(215) 399-2355,"1845 Walnut St #1920, Philadelphia, PA 19103, USA",https://www.petrellilaw.com/philadelphia-divorce-lawyer/?utm_source=organic&utm_medium=GMB&utm_campaign=Philadelphia,4.7,279,ChIJnXa9JDHGxokRbQyvpx0ofWI,TextSearch(New)+Details(New)
David Gorberg & Associates Lemon Law Attorneys,(215) 665-7660,"103 Sibley Ave, Ardmore, PA 19003, USA",https://www.mylemon.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb_location_ardmore,5,965,ChIJYxilg4bAxokRTbKrkFqwLJ4,TextSearch(New)+Details(New)
Sadek Bankruptcy Law Offices,(215) 545-0008,"1500 John F Kennedy Blvd # 220, Philadelphia, PA 19102, USA",https://www.sadeklaw.com/locations/center-city-philadelphia-bankruptcy-lawyer/,4.9,529,ChIJR1f3fi_GxokRKlXjKzZRm-I,TextSearch(New)+Details(New)
"Sidkoff, Pincus & Green P.C.",(215) 574-0600,"1101 Market St #2700, Philadelphia, PA 19107, USA",http://www.greatlawyers.com/,4.8,126,ChIJDSjGFinGxokRru3KY463klo,TextSearch(New)+Details(New)
Russell Law,(610) 565-9010,"1000 N Providence Rd, Media, PA 19063, USA",https://russell.legal/,5,14,ChIJF1EuiXXpxokReU4PPQ6HKX4,TextSearch(New)+Details(New)
Law Offices of Dawn Getty Sutphin,(610) 246-5090,"1300 MacDade Boulevard Suite 1, Folsom, PA 19033, USA",http://www.sutphinlaw.com/,4.8,26,ChIJL1JoZO7CxokRRmpNRsyZ_fg,TextSearch(New)+Details(New)
